x,y
6.478668390433096,2.9166690087406213
6.432625057697223,2.936142173075485
6.386516324357209,2.955447516410798
6.3403435270708535,2.9745884778317535
6.2941080024959595,2.993568496423546
6.247811087290324,3.01239101127137
6.20145411811175,3.0310594614604187
6.155038431618036,3.0495772860758854
6.108565364466983,3.0679479242029655
6.062036253316392,3.086174814926851
6.015452434824064,3.1042613973327375
5.968815245647797,3.122211110505819
5.922126022445393,3.140027393531288
5.875386101874651,3.1577136854943397
5.828596820593373,3.175273425480167
5.781759515259358,3.1927100525739647
5.734875522530407,3.2100270058609266
5.687946179064321,3.2272277244262466
5.640972821518901,3.244315647355118
5.593956786551943,3.261294213732735
5.5468994108212515,3.2781668626442917
5.499802030984626,3.2949370331749823
5.452665983699867,3.3116081644100004
5.405492605624773,3.32818369543454
5.358283233417147,3.3446670653337947
5.311039203734788,3.3610617131929588
5.263761853235496,3.377371078097226
5.216452518577071,3.3935985991317903
5.169112536417316,3.409747715381846
5.121743243414028,3.4258218659325874
5.074345976225009,3.441824489869206
5.02692207150806,3.457759026276899
4.979472865920981,3.4736289142408583
4.93199969612157,3.489437592846278
4.8845038987676315,3.505188501178352
4.8369868105169616,3.5208850783222756
4.789449768027364,3.5365307633632406
4.741894107956637,3.552128995386443
4.694321166962581,3.567683213477075
4.646732281702998,3.583196856720331
4.599128788835686,3.5986733642014057
4.551512025018448,3.614116175005492
4.503883326909082,3.6295287282177844
4.45624403116539,3.6449144629234773
4.408595474445171,3.6602768182077634
4.360938993406228,3.6756192331558375
4.313275924706357,3.690945146852893
4.265607605003363,3.7062579983841246
4.2179353709550425,3.7215612268347256
4.170260559219199,3.73685827128989
4.12258450645363,3.7521525708348116
4.074908549316137,3.767447564554685
4.027234024464521,3.7827466915347028
3.979562268556582,3.798053390860061
3.9318946182501193,3.8133711016159517
3.884232410202935,3.828703262887569
3.8365769810728287,3.8440533137601074
3.7889296675176003,3.859424693318761
3.7412918061950506,3.874820840648723
3.6936647337629798,3.890245194835188
3.6460497868791886,3.905701194963349
3.5984483022014766,3.9211922801184014
3.5508616163876447,3.9367218893855376
3.503291066095493,3.9522934618499526
3.4557379879828223,3.96791043659684
3.408203718707433,3.9835762527113934
3.3606895949271243,3.9992943492788067
3.3131969532996974,4.015068165384275
3.265727130482953,4.03090114011299
3.218281463134691,4.046796712550147
3.1708612879127114,4.062758321780941
3.123467941474815,4.078789406890564
3.0761027604788023,4.094893406964212
3.028767081582473,4.111073761087075
2.9814622414436287,4.127333908344351
2.9341895767200685,4.143677287821234
2.886950424069593,4.160107338602915
2.8397461201500027,4.176627499774588
2.792578001619098,4.19324121042145
2.7454474051346796,4.209951909628692
2.698355667354547,4.226763036481509
2.6513041249365017,4.243678030065096
2.604294114538342,4.260700329464647
2.5573269728178705,4.277833373765352
2.5104040364328872,4.29508060205241
2.4635266420411916,4.312445453411012
2.4166961263005837,4.329931366926353
2.369913825868865,4.347541781683626
2.323181077403835,4.3652801367680265
2.2764992175632943,4.383149871264745
2.2298695830050446,4.401154424258979
2.183293510386884,4.419297234835922
2.136772336366613,4.437581742080767
2.090307397602034,4.456011385078709
2.043900030750946,4.474589602914938
1.99755157247115,4.4933198346746535
1.9512633594204445,4.512205519443047
1.905036728256632,4.531250096305311
1.8588730156375124,4.550457004346642
1.8127735582208853,4.569829682652231
1.7667396926645516,4.589371570307274
1.7207726355976443,4.609085784660278
1.674871123790942,4.628968795802571
1.6290315607994965,4.6490108196437046
1.583250259512387,4.669201829063194
1.53752353281869,4.689531796940556
1.4918476936074836,4.709990696155306
1.446219054767846,4.730568499586963
1.400633929188855,4.751255180115041
1.3550886297595879,4.772040710619056
1.3095794693691223,4.792915063978525
1.2641027609065358,4.813868213072967
1.2186548172609073,4.834890130781895
1.1732319513213136,4.855970789984826
1.127830475976833,4.877100163561278
1.0824467041165424,4.8982682243907645
1.03707694862952,4.919464945352804
0.991717522404844,4.940680299326912
0.9463647383315916,4.961904259192606
0.9010149092988409,4.983126797829401
0.8556643481956694,5.004337888116814
0.8103093679111542,5.025527502934362
0.7649462813343744,5.046685615161561
0.7195714013544072,5.067802197677926
0.6741810408603301,5.088867223362974
0.6287715127412209,5.1098706650962225
0.5833391298861569,5.1308024957571865
0.5378802051842172,5.151652688225383
0.49239105152447843,5.17241121538033
